"dados_var"
"CD_MATRICULA" "Matrícula do Aluno"
"CD_ALUNO_INEP" "Código inep do Aluno"
"NM_ALUNO" "Nome do Aluno"
"NM_REGIONAL" "Nome da Regional"
"CD_ESCOLA" "Código da Escola"
"NM_ESCOLA" "Nome da Escola"
"NM_MUNICIPIO" "Nome do Muncípio"
"RP_001" "Qual é o seu sexo?"
"RP_002" "De acordo com as categorias do IBGE, como você se considera?"
"RP_003" "Qual é a sua idade?"
"RP_004" "Em que mês você faz aniversário?"
"RP_005" "Até que série/ano sua mãe ou a responsável por você estudou?"
"RP_006" "Até que série/ano seu pai ou o responsável por você estudou?"
"RP_007" "A rua onde você mora é asfaltada ou tem calçamento?"
"RP_008" "A rua onde você mora tem coleta de lixo?"
"RP_009" "Alguém que mora com você recebe bolsa família?"
"RP_010" "Você tem acesso à internet na sua casa?"
"RP_011" "Você tem um quarto só para você na sua casa?"
"RP_012" "Quantos banheiros existem na sua casa?"
"RP_013" "Quantos quartos de dormir existem na sua casa?"
"RP_014" "Quantas máquinas de lavar roupa existem na sua casa?"
"RP_015" "Quantos micro-ondas existem na sua casa?"
"RP_016" "Quantos ares-condicionados existem na sua casa?"
"RP_017" "Quantos automóveis (carros) existem na sua casa?"
"RP_018" "Quantos smartphones existem na sua casa?"
"RP_019" "Quantos computadores (notebook etc.) existem na sua casa?"
"RP_020" "Quantos videogames (Xbox, PS4 etc.) existem na sua casa?"
"RP_021" "Sem considerar livros escolares, jornais e revistas, quantos livros existem na sua casa?"
"RP_022" "Quantos dicionários existem na sua casa?"
"RP_023" "Quando você frequentou a escola pela primeira vez?"
"RP_024" "A partir do 1º ano do ensino fundamental, em que tipo de escola você estudou?"
"RP_025" "Você já foi reprovado?"
"RP_026" "Você já abandonou a escola durante o período de aulas e ficou fora da escola o resto do ano?"
"RP_027" "Eu fui bem na(s) prova(s) que acabei de fazer."
"RP_028" "Eu vou conseguir passar de ano sem dificuldades."
"RP_029" "Eu vou conseguir concluir meus estudos sem dificuldades."
"RP_030" "Eu vou conseguir entrar na faculdade."
"RP_031" "Eu vou conseguir um bom primeiro emprego."
"RP_032" "Eu vou conseguir ter sucesso na carreira que escolher."
"RP_033" "Na minha escola, temos várias atividades interessantes ao longo do ano (gincanas, apresentações, esportes etc.)."
"RP_034" "Na minha escola, o(a) diretor(a) e os(as) professores(as) deixam claro que estamos na escola para aprender."
"RP_035" "Na minha escola, os estudantes se relacionam bem com o(a) diretor(a) e os(as) professores(as)."
"RP_036" "Na minha escola, os estudantes se relacionam bem uns com os outros."
"RP_037" "Na minha escola, quando há brigas, os adultos interferem na situação."
"RP_038" "Sinto-me seguro dentro da minha escola."
"RP_039" "Os estudantes obedecem quando o(a) diretor(a) ou os(as) professores(as) chamam a atenção."
"RP_040" "Na minha escola, muitos estudantes ficam do lado de fora da sala de aula fazendo barulho."
"RP_041" "Meus professores utilizam diferentes recursos para apresentar a matéria (vídeo, música, computador etc.)."
"RP_042" "Meus professores respondem às dúvidas que aparecem durante as aulas."
"RP_043" "Meus professores utilizam o livro didático."
"RP_044" "Meus professores falam sobre a importância de estudar."
"RP_045" "Meus professores revisam a matéria para as provas."
"RP_046" "Meus professores faltam muito às aulas."
"RP_047" "Meus professores corrigem os exercícios que passam em sala de aula com os estudantes."
"RP_048" "Meus professores ajudam os estudantes com dificuldade."
"RP_049" "Meus professores fazem eu me sentir confiante para realizar provas e tarefas."
"RP_050" "Meus professores colocam os estudantes para dentro da sala de aula com facilidade."
"FL_QUEST_NBRANCO" ""
"FL_QUEST_NNULO" ""
