SEXO,IDADE,FORMACAO DA MAE,FORMACAO DO PAI,ACESSO A INTERNET,NUMERO DE COMPUTADORES,INICIOU OS ESTUDOS,CURSO O ENSINO FUNDAMENTAL,REPROVOU,ABANDONOU A ESCOLA,GESTAO ESCOLAR / PROFESSORES TRABALHAM COM FOCO NO SPAECE,PROFESSORES TIRAM DUVIDAS,PROFESSORES CORRIGEM AS ATIVIDADES,TURNO ESCOLAR,NUMERO DE PONTOS EM PORTUGUES,NUMERO DE PONTOS EM MATEMATICA,PROFICIENCIA EM PORTUGUES,PROFICIENCIA EM MATEMATICA
1,17,1,3,0,1,3,1,0,0,2,2,2,2,11,8,"252,9","285,73"
1,18,0,3,0,1,5,1,0,0,2,3,3,2,16,9,"281,74","306,3"
1,17,0,3,0,1,5,1,0,0,3,2,2,2,8,5,"224,17","243,4"
1,17,0,3,0,1,3,3,0,0,1,1,1,2,17,6,"281,61","268,13"
2,17,0,3,0,1,5,1,0,0,2,2,2,2,18,5,"301,68","240,28"
1,17,5,3,0,1,3,1,0,0,2,2,2,2,11,3,"248,75","218,22"
2,17,5,3,0,1,5,1,0,0,2,2,1,2,14,9,"269,68","315,17"
1,17,4,3,0,1,3,1,0,0,2,2,1,2,20,5,"296,59","271,72"
1,17,4,3,0,1,3,1,0,0,2,2,2,2,22,13,"320,49","349,24"
1,17,4,3,0,1,5,1,0,0,2,2,3,2,12,4,"249,38","228,64"
1,17,4,3,0,1,5,1,0,0,2,2,3,2,17,9,"286,22","291,31"
1,18,4,3,0,1,3,1,0,0,2,3,2,2,20,13,"323,08","348,15"
1,19,4,3,0,1,5,1,1,0,3,3,3,2,3,4,"150,3","246,15"
1,17,4,3,0,1,3,1,0,0,3,3,3,2,20,5,"323,61","235,65"
1,17,4,3,0,1,5,2,0,0,3,3,1,2,15,4,"281,72","243,16"
1,19,4,3,0,1,3,3,0,1,2,2,2,2,6,4,"221,01","234,39"
1,17,4,3,0,1,3,2,0,0,2,1,2,2,24,16,"352,54","365,61"
2,17,4,3,0,1,3,1,0,0,3,2,2,2,12,5,"253,75","246,39"
2,17,4,3,0,1,3,1,0,0,2,2,3,2,17,15,"281,36","374,24"
2,18,4,3,0,1,3,1,0,0,3,3,3,2,21,11,"333,4","285,27"
2,17,4,3,0,1,3,1,0,0,2,2,2,2,20,8,"301,11","278,01"
1,17,2,3,0,1,3,1,0,0,3,2,3,2,5,6,"204,53","252,85"
1,18,2,3,0,1,3,1,0,0,3,2,3,2,21,18,"315,8","410,15"
2,17,2,3,0,1,3,1,0,0,2,3,1,2,7,7,"218,87","221,88"
2,18,2,3,0,1,3,1,0,0,3,3,2,2,20,8,"311,47","324,63"
1,17,3,3,0,1,3,1,0,0,2,3,2,2,12,4,"240,66","197,2"
1,18,3,3,0,1,3,1,1,0,3,3,3,2,15,4,"267,86","237,74"
1,17,3,3,0,1,5,1,0,0,2,2,2,2,9,6,"230,41","222,72"
1,17,3,3,0,1,3,1,0,0,3,2,3,2,18,10,"301,04","296,64"
1,18,3,3,0,1,3,1,0,0,3,2,2,2,8,5,"226,79","239,63"
1,17,3,3,0,1,5,3,0,0,2,2,2,2,13,8,"259,82","328,04"
1,20,3,3,0,1,5,3,0,0,2,2,1,2,14,3,"251,89","202,58"
2,17,3,3,0,1,3,1,0,0,3,3,2,2,16,6,"278,32","288,38"
2,19,3,3,0,1,3,1,2,0,2,2,2,2,8,5,"217,25","206,83"
1,18,1,2,0,1,3,1,0,0,1,1,1,2,9,1,"205,8","208,43"
1,18,1,2,0,1,5,3,0,1,3,3,3,2,5,2,"213,91","199,49"
2,18,1,2,0,1,3,1,1,0,1,1,2,2,18,6,"295,94","227,17"
1,17,0,2,0,1,7,1,0,0,3,2,2,2,22,17,"330,01","405,09"
1,18,0,2,0,1,3,1,0,0,2,3,2,2,15,5,"262,9","244,99"
1,17,0,2,0,1,3,1,0,0,3,3,2,2,3,4,"170,81","223,61"
1,18,0,2,0,1,3,1,1,0,2,1,2,2,13,4,"247,27","245,96"
2,17,0,2,0,1,3,1,0,0,2,2,2,2,18,7,"306,03","307,08"
2,18,0,2,0,1,3,1,0,0,3,3,3,2,20,5,"316,12","266,46"
2,17,0,2,0,1,7,1,1,0,2,3,3,2,15,1,"283,16","200,97"
2,17,0,2,0,1,3,1,0,0,2,2,2,2,12,5,"259,8","247,3"
2,18,0,2,0,1,5,1,0,0,2,2,2,2,7,4,"224,88","238,36"
2,18,0,2,0,1,7,1,0,0,3,3,3,2,5,5,"181,32","243,08"
2,20,0,2,0,1,7,1,1,1,2,2,2,2,13,4,"269,02","268,75"
1,17,5,2,0,1,5,1,0,0,3,3,3,2,23,9,"342,09","312,62"
1,17,5,2,0,1,3,1,0,0,2,2,2,2,19,3,"308,17","213,46"
2,17,5,2,0,1,3,1,0,0,2,2,1,2,5,4,"188,33","204,98"
1,17,4,2,0,1,3,3,0,0,2,3,3,2,6,7,"194,78","253,76"
1,17,4,2,0,1,5,1,0,0,2,3,3,2,10,6,"226,83","258,54"
1,18,4,2,0,1,3,1,0,0,2,2,2,2,13,8,"264,43","277,2"
1,18,4,2,0,1,3,1,0,0,3,3,3,2,7,2,"188,64","192,05"
1,17,4,2,0,1,7,1,0,0,2,2,2,2,20,4,"313,25","220,5"
2,20,4,2,0,1,5,1,0,0,1,2,2,2,11,4,"224,12","235,61"
2,17,4,2,0,1,5,1,0,0,1,2,2,2,6,4,"195,76","218,81"
