IDADE,FORMAÇÃO DA MÃE,FORMAÇÃO DO PAI,ACESSO A INTERNET,NUMERO DE COMPUTADORES,INICIOU OS ESTUDOS,CURSO O ENSINO FUNDAMENTAL,REPROVOU,ABANDONOU A  ESCOLA,GESTÃO ESCOLAR / PROFESSORES TRABALHAM COM FOCO NO SPAECE,PROFESSORES TIRAM DUVIDAS,PROFESSORES CORRIGEM AS ATIVIDADES,TURNO ESCOLAR,NUMERO DE PONTOS EM PORTUGUES,NÚMERO DE PONTOS EM MATEMÁTICA,SEXO,PROFICIENCIA EM PORTUGUES,PROFICIENCIA EM MATEMÁTICA
continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous
,,,,,,,,,,,,,,,,,
19,1,1,0,0,3,1,1,0,3,1,1,1,13,5,1,270.62,223.36
18,5,1,0,0,3,3,1,0,2,2,1,2,17,6,1,286.26,266.67
18,5,4,1,1,3,3,0,0,3,2,2,3,6,5,1,203.02,264.69
17,6,1,1,1,5,3,0,0,2,2,1,1,19,7,1,309.08,254.12
18,4,2,0,1,5,1,1,0,3,3,1,1,17,5,1,296.46,248.78
17,3,3,1,1,3,1,0,0,3,2,2,3,13,4,1,257.89,245.72
17,2,2,1,2,3,2,0,0,2,1,1,4,17,16,1,283.79,372.06
17,4,3,0,0,3,1,0,0,2,2,2,4,24,7,1,354.81,291.16
17,3,1,1,0,3,1,0,0,3,3,1,3,12,5,1,264.41,246.41
17,5,3,1,1,3,3,0,0,2,2,2,2,19,13,1,312.41,360.01
18,3,3,1,1,5,1,0,0,3,3,1,1,14,8,1,281.33,286.92
17,1,1,1,1,3,1,0,0,3,3,2,1,24,8,1,346.51,280.56
18,6,6,1,0,3,3,0,1,2,2,2,2,19,12,1,301.33,327.22
18,6,2,1,1,3,3,1,0,2,2,1,3,10,6,1,248.14,266.67
17,5,1,0,0,3,1,0,0,2,1,2,1,9,2,1,233.42,225.38
17,5,3,1,2,3,1,0,0,3,2,2,2,9,5,1,244.86,254.08
17,1,1,1,0,3,1,0,0,3,3,2,1,13,6,1,245.33,227.69
19,3,3,1,0,3,1,1,0,2,3,2,4,22,12,1,332.97,338.58
17,5,6,1,2,3,2,0,0,2,2,2,2,16,12,1,277.2,318.84
17,4,3,1,1,3,1,0,0,2,2,3,3,2,5,1,160.63,260.29
20,3,3,1,1,5,1,0,0,2,3,2,3,10,3,1,247.77,236.53
17,5,1,1,0,3,1,0,0,2,2,2,1,13,3,1,259.79,212.96
17,4,1,0,1,3,1,0,0,2,3,1,2,15,7,1,277.27,297.32
17,5,5,1,0,3,2,0,0,3,2,1,1,11,4,1,239.39,251.4
18,3,3,1,0,5,1,0,0,3,3,1,3,11,3,1,248.38,240.98
17,2,2,1,2,3,1,0,0,3,2,2,4,23,11,1,338,337.34
18,4,4,1,1,5,1,0,0,2,2,2,4,10,5,1,214.83,232.99
